filename.d1.d2,A/C CLUTCH,A/C SWITCH,AF FB CMD,AF FB CMD B2,AF SENSOR,AF SENSOR B1,AF SENSOR B2,ALTERNATOR,BARO SENSOR,BATTERY,BRAKE SWITCH,CMP CTRL,CMP CTRL CMD,DRIVING STATUS,ECT SENSOR,ECT SENSOR 2,EGR COMMAND,EGR LIFT,ELD,ENGINE SPEED,EVAP CVS VALVE,EVAP PC DUTY,F INJECTOR,FSS,FSS-B1,FSS-B2,FTP SENSOR,FUEL CUT,FUEL LEVEL,HO2S B1 S2,HO2S B2 S2,HO2S S2,IAT SENSOR,IDLE TARGET TH,IDLING,IG1 LEVEL,IMA MOTOR TORQUE,IMRC VALVE CMD,KCREND,KNOCK CTRL,KNOCK CTRL EGR,KNOCK RETARD,LT FUEL TRIM,LT FUEL TRIM B1,LT FUEL TRIM B2,MAP SENSOR,MISFIRE,PNP SWITCH,PSP SWITCH,PULSER F/B LEARN,REL TP SENSOR,ROCKER ARM OIL CONTROL SOL1,ROCKER ARM OIL CONTROL SOL2,ROCKER ARM OIL PRESSURE SWITCH,SPARK ADVANCE,ST FUEL TRIM,ST FUEL TRIM B1,ST FUEL TRIM B2,TARGET TH VLV,TIME,TP SENSOR,VEHICLE SPEED,VTEC PRES SW,VTEC SOL
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.10,0,0,14.79d0,14.545505d0,0.68d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.75d0,1288.0d0,1,21.0d0,1.88d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.65d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-9.6d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.11,0,0,14.79d0,14.545505d0,0.68d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.75d0,1295.0d0,1,21.0d0,1.87d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.63d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-9.4d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.12,0,0,14.79d0,14.545505d0,0.58d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.75d0,1303.0d0,1,21.0d0,1.85d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.73d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-9.2d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.13,0,0,14.79d0,14.545505d0,0.49d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.75d0,1315.0d0,1,21.0d0,1.8d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.88d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-9.0d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.14,0,0,14.79d0,14.545505d0,0.47d0,-0.06082281d0,-0.07063295d0,36.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1319.0d0,1,21.0d0,1.72d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.88d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-8.8d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.15,0,0,14.79d0,14.545505d0,0.4d0,-0.06082281d0,-0.07063295d0,36.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1301.0d0,1,21.0d0,1.8599999999999999d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.88d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-8.6d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.0,0,0,14.79d0,14.545505d0,0.4d0,-0.06082281d0,-0.07063295d0,36.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1306.0d0,1,21.0d0,1.81d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.88d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.86d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-8.4d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.1,0,0,14.79d0,14.545505d0,0.4d0,-0.06082281d0,-0.07063295d0,36.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1304.0d0,1,21.0d0,1.8399999999999999d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.86d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-8.2d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.2,0,0,14.79d0,14.545505d0,0.33d0,-0.06082281d0,-0.07063295d0,36.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1293.0d0,1,21.0d0,1.8599999999999999d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.86d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-8.0d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.3,0,0,14.79d0,14.545505d0,0.28d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.9d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1287.0d0,1,21.0d0,1.87d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.86d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.86d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-7.8d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.4,0,0,14.79d0,14.545505d0,0.33d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.9d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1285.0d0,1,21.0d0,1.76d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.86d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.84d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-7.6d0,0.71d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.5,0,0,14.79d0,14.545505d0,0.32d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.9d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1293.0d0,1,21.0d0,1.87d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.86d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.88d0,4.0d0,0,1,1,3.5300000000000002d0,0,0,1,15.0d0,0.69d0,0.97278535d0,0.9796831d0,3.7d0,-7.4d0,0.73d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.6,0,0,14.91d0,14.545505d0,0.29d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.9d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.03d0,1407.0d0,1,21.0d0,2.14d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.86d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.0d0,4.0d0,0,1,1,5.1d0,0,0,1,26.0d0,0.69d0,0.97278535d0,0.9796831d0,4.8d0,-7.2d0,0.76d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.7,0,0,14.91d0,14.545505d0,0.08d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.9d0,0,-0.5d0,0.0d0,4,176.0d0,50.25714d0,7.0d0,0.0d0,29.03d0,1516.0d0,1,21.0d0,2.64d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.84d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.12d0,4.0d0,0,1,1,5.88d0,0,0,1,24.5d0,0.69d0,0.97278535d0,0.9796831d0,5.4d0,-7.0d0,0.82d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.8,0,0,14.91d0,14.545505d0,-0.27d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,0.5d0,2.5d0,4,176.0d0,50.25714d0,10.0d0,1.0d0,28.68d0,1560.0d0,1,20.0d0,2.86d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.84d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.16d0,4.0d0,0,1,1,5.88d0,0,0,1,24.0d0,0.71d0,0.97278535d0,0.9796831d0,5.5d0,-6.8d0,0.82d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.9,0,0,14.45d0,14.545505d0,-0.31d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,4.0d0,5.5d0,4,176.0d0,50.25714d0,13.0d0,12.0d0,28.68d0,1556.0d0,1,20.0d0,3.14d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.82d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.22d0,4.0d0,0,1,1,6.67d0,0,0,1,25.0d0,0.75d0,0.97278535d0,0.9796831d0,6.3d0,-6.6d0,0.82d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.10,0,0,14.34d0,14.545505d0,-0.35d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,9.0d0,10.0d0,4,176.0d0,50.25714d0,24.0d0,19.0d0,28.68d0,1610.0d0,1,20.0d0,4.32d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.82d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.53d0,4.0d0,0,1,1,10.59d0,0,0,1,27.0d0,0.8d0,0.97278535d0,0.9796831d0,9.6d0,-6.4d0,0.88d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.11,0,0,14.23d0,14.545505d0,-0.29d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,9.5d0,10.0d0,4,176.0d0,50.25714d0,48.0d0,40.0d0,28.68d0,1718.0d0,1,19.0d0,5.85d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.8d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.8199999999999998d0,4.0d0,0,1,1,10.59d0,0,0,1,25.0d0,0.84d0,0.97278535d0,0.9796831d0,9.6d0,-6.2d0,0.98d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.12,0,0,14.23d0,14.545505d0,-0.22d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,56.0d0,54.0d0,28.68d0,1798.0d0,1,19.0d0,5.98d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.74d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.88d0,4.0d0,0,1,1,10.59d0,0,0,1,26.5d0,0.87d0,0.97278535d0,0.9796831d0,9.6d0,-6.0d0,0.98d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.13,0,0,14.23d0,14.545505d0,-0.06d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.8d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,58.0d0,56.0d0,32.26d0,1822.0d0,1,19.0d0,5.9d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.61d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.88d0,4.0d0,0,1,1,10.59d0,0,0,1,27.5d0,0.89d0,0.97278535d0,0.9796831d0,9.6d0,-5.8d0,0.98d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.14,0,0,14.23d0,14.545505d0,-0.04d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.8d0,0,10.5d0,10.0d0,4,176.0d0,50.25714d0,61.0d0,59.0d0,32.26d0,1826.0d0,1,19.0d0,5.93d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.18d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.9d0,4.0d0,0,1,1,10.59d0,0,0,1,27.5d0,0.9d0,0.97278535d0,0.9796831d0,9.7d0,-5.6d0,1.0d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.2.15,0,0,14.23d0,14.545505d0,-0.02d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.8d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,64.0d0,65.0d0,32.26d0,1838.0d0,1,19.0d0,6.05d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.12d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.88d0,4.0d0,0,1,1,10.59d0,0,0,1,28.0d0,0.91d0,0.97278535d0,0.9796831d0,9.7d0,-5.4d0,1.0d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.3.0,0,0,14.23d0,14.545505d0,0.01d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.8d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,69.0d0,66.0d0,32.26d0,1837.0d0,1,19.0d0,6.42d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.12d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.92d0,4.0d0,0,1,1,11.76d0,0,0,1,28.0d0,0.93d0,0.97278535d0,0.9796831d0,10.6d0,-5.2d0,1.02d0,42.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.3.1,0,0,14.23d0,14.545505d0,0.02d0,-0.06082281d0,-0.07063295d0,32.0d0,2.92d0,13.8d0,0,10.5d0,10.0d0,4,176.0d0,50.25714d0,70.0d0,71.0d0,32.26d0,1875.0d0,1,19.0d0,6.72d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.12d0,48.2d0,2.5d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,2.02d0,4.0d0,0,1,1,11.37d0,0,0,1,27.5d0,0.94d0,0.97278535d0,0.9796831d0,10.6d0,-5.0d0,1.04d0,42.0d0,1,0
