A/C CLUTCH,A/C PRESSURE,A/C PRESSURE SENSOR,A/C SWITCH,AF B1 LAMBDA CMD,AF B2 LAMBDA CMD,AF FB CMD,AF FB CMD B2,AF LAMBDA CMD,AF SENSOR,AF SENSOR B1,AF SENSOR B1 INPEDANCE,AF SENSOR B2,AF SENSOR B2 INPEDANCE,AF SENSOR INPEDANCE,ALTERNATOR,BARO SENSOR,BATTERY,BRAKE SWITCH,CAT MONITOR B1,CAT MONITOR B2,CATALYST TEMP,CATALYST TEMP B1,CATALYST TEMP B2,CLUTCH SWITCH,CMP CTRL,CMP CTRL CMD,CYL1 TOTAL MISFIRE,CYL2 TOTAL MISFIRE,CYL3 TOTAL MISFIRE,CYL4 TOTAL MISFIRE,CYL5 TOTAL MISFIRE,CYL6 TOTAL MISFIRE,DRIVING STATUS,ECT SENSOR,ECT SENSOR 2,EGR COMMAND,EGR FLOW OPEN RATIO,EGR LIFT,ELD,ENGINE SPEED,EVAP BYPASS SOL,EVAP CVS VALVE,EVAP PC DUTY,F INJECTOR,F INJECTOR ACTIVE SIDE,FSS,FSS-B1,FSS-B2,FTP SENSOR,FUEL CUT,FUEL LEVEL,FUEL PUMP CONTROL,GEAR POSITION,HO2S B1 S2,HO2S B2 S2,HO2S S2,IAC COMMAND,IAT SENSOR,IAT SENSOR 1,IDLE TARGET TH,IDLING,IG1 LEVEL,IMA MOTOR TORQUE,IMRC SOL V,IMRC VALVE CMD,IMRC VALVE POSITION,KCREND,KNOCK CTRL,KNOCK CTRL EGR,KNOCK RETARD,LT FUEL TRIM,LT FUEL TRIM B1,LT FUEL TRIM B2,MAF SENSOR,MAP SENSOR,MISFIRE,PNP SWITCH,PSP SWITCH,PULSER F/B LEARN,REL TP SENSOR,ROCKER ARM OIL CONTROL SOL A,ROCKER ARM OIL CONTROL SOL B,ROCKER ARM OIL CONTROL SOL1,ROCKER ARM OIL CONTROL SOL2,ROCKER ARM OIL PRESSURE SENSOR,ROCKER ARM OIL PRESSURE SWITCH,ROCKER ARM OIL PRESSURE SWITCH A,ROCKER ARM OIL PRESSURE SWITCH B,SPARK ADVANCE,ST FUEL TRIM,ST FUEL TRIM B1,ST FUEL TRIM B2,TARGET TH VLV,TC BOOST PRESSURE,TC BOOST PRESSURE SENSOR,TC BOOST PRESSURE UPPER LIMIT,TP SENSOR,VEHICLE SPEED,VPS STATUS,VTEC (VCM) SOL,VTEC PRES SW,VTEC PRES SW B2,VTEC SOL,VTEC SOL B2
0,0,0,0.03,0,0,0,0,0,0.11,0,0,0,0,0,0.01,0.15,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.01,0.04,0.01,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.15,0,0,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0.13,0,0,0,0,0,0,0
0,0,0,0.03,0,0,0,0,0,0.11,0,0,0,0,0,0.01,0.15,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.01,0.04,0.01,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.15,0,0,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0.13,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.11,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.01,0,0.01,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0,0,0.13,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0,0,0,0.09,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.2,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.21,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.21,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,1,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.05,0.12,0,0,0,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.19,0,0.24,0.11,0.05,0,0,0,0,0,0,0,0,0.24,0,0,0,0.12,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.51,0.01,0,0,0.03,0,0,0,0.03,0.23,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.07,0.16,0,0,0,0.13,0,0.08,0,0,0,0,0,0,0.05,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0.29,0.08,0,0.57,0,0,0,0.07,0.05,0,0,0,0.08,0,0,0,0,0,0,0,0,0.13,0.37,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.13,0.04,0,0,0,0.04,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0.55,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.2,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.6,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.13,0,0,0,0,0,0,0
0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.01,0.03,0,0,0,0.08,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.72,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.05,0.03,0,0,0,0.04,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0.21,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.04,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.13,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.17,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.13,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.4,0,0.01,0,0.01,0,0,0,0,0,0,0,0.04,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0.13,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.79,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0.07,0,0,0,0,0,0,0
